timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673612786471,1226,HTTP Request-0,302,Found,LoadtestingSample 1-82,text,true,,2636,112,87,87,https://pathao.com/,1212,0,990
1673612787705,5641,HTTP Request-1,200,OK,LoadtestingSample 1-82,text,true,,113311,115,87,87,https://pathao.com/bn/,5533,0,0
1673612786422,7314,HTTP Request,200,OK,LoadtestingSample 1-78,text,true,,115954,227,86,86,https://pathao.com/bn/,1261,0,1057
1673612786422,1276,HTTP Request-0,302,Found,LoadtestingSample 1-78,text,true,,2636,112,86,86,https://pathao.com/,1261,0,1057
1673612787705,6031,HTTP Request-1,200,OK,LoadtestingSample 1-78,text,true,,113318,115,86,86,https://pathao.com/bn/,5813,0,0
1673612786552,7423,HTTP Request,200,OK,LoadtestingSample 1-91,text,true,,115954,227,85,85,https://pathao.com/bn/,1131,0,909
1673612786552,1146,HTTP Request-0,302,Found,LoadtestingSample 1-91,text,true,,2634,112,85,85,https://pathao.com/,1131,0,909
1673612787707,6268,HTTP Request-1,200,OK,LoadtestingSample 1-91,text,true,,113320,115,85,85,https://pathao.com/bn/,6077,0,0
1673612785950,8079,HTTP Request,200,OK,LoadtestingSample 1-22,text,true,,115951,227,84,84,https://pathao.com/bn/,1733,0,1531
1673612785950,1748,HTTP Request-0,302,Found,LoadtestingSample 1-22,text,true,,2638,112,84,84,https://pathao.com/,1733,0,1531
1673612787708,6321,HTTP Request-1,200,OK,LoadtestingSample 1-22,text,true,,113313,115,84,84,https://pathao.com/bn/,6209,0,0
1673612786092,8007,HTTP Request,200,OK,LoadtestingSample 1-45,text,true,,115951,227,83,83,https://pathao.com/bn/,1623,0,1461
1673612786092,1623,HTTP Request-0,302,Found,LoadtestingSample 1-45,text,true,,2632,112,83,83,https://pathao.com/,1623,0,1461
1673612787715,6384,HTTP Request-1,200,OK,LoadtestingSample 1-45,text,true,,113319,115,83,83,https://pathao.com/bn/,6226,0,0
1673612785947,8486,HTTP Request,200,OK,LoadtestingSample 1-18,text,true,,115949,227,82,82,https://pathao.com/bn/,1772,0,1605
